mode	batch	category	name
11	1	survey	Joomla < 2.5.18
12	1	survey	PostgreSQL
20	1	survey	md5($salt.$pass)
21	1	survey	osCommerce, xt:Commerce
22	1	survey	Juniper NetScreen/SSG (ScreenOS)
23	2	survey	Skype
24	2	survey	SolarWinds Serv-U
30	2	survey	md5(utf16le($pass).$salt)
40	2	survey	md5($salt.utf16le($pass))
50	2	survey	HMAC-MD5 (key = $pass)
60	3	survey	HMAC-MD5 (key = $salt)
70	3	survey	md5(utf16le($pass))
101	3	survey	nsldap, SHA-1(Base64), Netscape LDAP SHA
111	3	survey	nsldaps, SSHA-1(Base64), Netscape LDAP SSHA
120	3	survey	sha1($salt.$pass)
121	4	survey	SMF (Simple Machines Forum) > v1.1
122	4	survey	macOS v10.4, macOS v10.5, macOS v10.6
124	4	survey	Django (SHA-1)
125	4	survey	ArubaOS
130	4	survey	sha1(utf16le($pass).$salt)
131	5	survey	MSSQL (2000)
132	5	survey	MSSQL (2005)
133	5	survey	PeopleSoft
140	5	survey	sha1($salt.utf16le($pass))
141	5	survey	Episerver 6.x < .NET 4
150	6	survey	HMAC-SHA1 (key = $pass)
160	6	survey	HMAC-SHA1 (key = $salt)
170	6	survey	sha1(utf16le($pass))
200	6	survey	MySQL323
501	6	survey	Juniper IVE
610	7	survey	BLAKE2b-512($pass.$salt)
620	7	survey	BLAKE2b-512($salt.$pass)
1310	7	survey	sha224($pass.$salt)
1320	7	survey	sha224($salt.$pass)
1411	7	survey	SSHA-256(Base64), LDAP {SSHA256}
1420	8	survey	sha256($salt.$pass)
1421	8	survey	hMailServer
1430	8	survey	sha256(utf16le($pass).$salt)
1440	8	survey	sha256($salt.utf16le($pass))
1441	8	survey	Episerver 6.x >= .NET 4
1450	9	survey	HMAC-SHA256 (key = $pass)
1460	9	survey	HMAC-SHA256 (key = $salt)
1470	9	survey	sha256(utf16le($pass))
1500	9	survey	descrypt, DES (Unix), Traditional DES
1600	9	survey	Apache $apr1$ MD5, md5apr1, MD5 (APR)
1710	10	survey	sha512($pass.$salt)
1711	10	survey	SSHA-512(Base64), LDAP {SSHA512}
1720	10	survey	sha512($salt.$pass)
1722	10	survey	macOS v10.7
1730	10	survey	sha512(utf16le($pass).$salt)
1740	11	survey	sha512($salt.utf16le($pass))
1750	11	survey	HMAC-SHA512 (key = $pass)
1760	11	survey	HMAC-SHA512 (key = $salt)
1770	11	survey	sha512(utf16le($pass))
2000	11	survey	STDOUT
2400	12	survey	Cisco-PIX MD5
2410	12	survey	Cisco-ASA MD5
2500	12	survey	WPA-EAPOL-PBKDF2
2501	12	survey	WPA-EAPOL-PMK
2611	12	survey	vBulletin < v3.8.5
2612	13	survey	PHPS
2630	13	survey	md5(md5($pass.$salt))
2711	13	survey	vBulletin >= v3.8.5
2811	13	survey	MyBB 1.2+, IPB2+ (Invision Power Board)
3100	13	survey	Oracle H: Type (Oracle 7+)
3500	14	survey	md5(md5(md5($pass)))
3610	14	survey	md5(md5(md5($pass)).$salt)
3710	14	survey	md5($salt.md5($pass))
3711	14	survey	MediaWiki B type
3730	14	survey	md5($salt1.strtoupper(md5($salt2.$pass)))
3800	15	survey	md5($salt.$pass.$salt)
3910	15	survey	md5(md5($pass).md5($salt))
